Run,Distance,Time (s)
1,5511,41.219767808914185
2,5069,41.73987936973572
3,5518,40.80749702453613
4,5218,40.98852753639221
5,5086,40.894575357437134
6,5319,40.96062684059143
7,5078,41.167582273483276
8,5309,41.01154446601868
9,4911,40.77083921432495
10,5350,41.32814359664917
11,5110,41.19239640235901
12,5348,40.857123136520386
13,5154,41.40452218055725
14,5611,41.6160786151886
15,5456,41.72016525268555
16,5026,41.95607233047485
17,5582,41.89631175994873
18,5328,40.99829077720642
19,5297,41.016486167907715
20,5722,41.14979672431946
21,5209,40.96296191215515
22,4931,41.07897472381592
23,5287,41.22140049934387
24,5914,41.480907917022705
25,5136,40.88501286506653
26,5443,40.794317960739136
27,5483,40.85681462287903
28,5256,40.64487051963806
29,5269,41.530447244644165
30,5105,40.55369162559509
