Run,Distance,Time (s)
1,29552,203.6065754890442
2,31675,204.46338057518005
3,31728,205.33227729797363
4,27771,206.37311601638794
5,25439,203.7364251613617
6,29612,202.69238209724426
7,31033,204.28675770759583
8,31879,205.40681958198547
9,28703,203.49674367904663
10,28394,204.59342885017395
11,29575,204.12746596336365
12,28355,203.43601250648499
13,30002,203.84967613220215
14,29914,203.20287489891052
15,30454,205.2550139427185
16,28441,204.5411036014557
17,29216,204.19666934013367
18,28034,204.27422714233398
19,30987,203.64045643806458
20,27988,204.8978672027588
21,29331,204.3774495124817
22,28686,205.6530249118805
23,29259,204.71760773658752
24,31342,204.2616846561432
25,28393,203.7585060596466
26,27214,206.53756594657898
27,29587,204.3395447731018
28,30356,205.29308819770813
29,29185,205.45490789413452
30,29899,204.965402841568
