Run,Distance,Time (s)
1,27597,304.82560324668884
2,26874,303.0264256000519
3,25492,305.5688011646271
4,27109,302.82559156417847
5,25524,303.11182975769043
6,23410,300.9515333175659
7,27067,299.4848265647888
8,25793,299.95509147644043
9,25848,300.5178921222687
10,26143,300.4149498939514
11,26924,299.45238614082336
12,25496,300.6642105579376
13,26774,301.23910641670227
14,25922,301.5295829772949
15,24495,303.1333429813385
16,24170,303.37686109542847
17,27335,303.65683674812317
18,29788,304.6592605113983
19,27471,306.76711654663086
20,25016,308.2255325317383
21,25655,311.3610155582428
22,25950,302.26615810394287
23,27276,302.42715096473694
24,25919,302.2418415546417
25,26143,300.20089316368103
26,25335,299.4097454547882
27,25907,303.10330510139465
28,25847,304.74798583984375
29,26323,302.1440682411194
30,25422,303.4417316913605
