Run,Distance,Time (s)
1,7833,0.00944209098815918
2,7153,0.009388446807861328
3,6802,0.009130477905273438
4,7271,0.00936126708984375
5,7699,0.009302616119384766
6,9738,0.009027242660522461
7,7775,0.009319067001342773
8,9166,0.009030818939208984
9,7949,0.009267330169677734
10,7376,0.009045600891113281
11,6927,0.009178638458251953
12,8633,0.009150266647338867
13,6661,0.009125709533691406
14,7689,0.009137868881225586
15,7479,0.009170293807983398
16,7513,0.009224653244018555
17,7643,0.00922703742980957
18,7802,0.009212255477905273
19,7173,0.009058475494384766
20,8155,0.009038209915161133
21,7319,0.009058713912963867
22,8745,0.009174823760986328
23,7710,0.009044647216796875
24,6581,0.009130477905273438
25,7021,0.009067058563232422
26,7463,0.009129047393798828
27,6788,0.009027242660522461
28,7417,0.009171485900878906
29,7612,0.009172439575195312
30,7201,0.009158849716186523
