Run,Distance,Time (s)
1,5232,81.01261758804321
2,5126,80.92313361167908
3,5320,81.22288727760315
4,5112,81.22545719146729
5,5018,82.28589224815369
6,5371,82.27889466285706
7,4986,81.98953747749329
8,5018,81.33759546279907
9,4808,81.2785873413086
10,5119,81.87756133079529
11,5157,80.74729537963867
12,5327,81.35817313194275
13,5062,81.67009162902832
14,5113,81.57900643348694
15,4552,81.0835554599762
16,5507,81.02636671066284
17,5286,81.59244418144226
18,5088,82.20876264572144
19,4625,81.04393696784973
20,5054,81.4773952960968
21,5237,80.92960977554321
22,5330,81.73948359489441
23,4790,81.52758979797363
24,5162,81.80759191513062
25,4842,81.55720233917236
26,5292,80.94833731651306
27,5051,81.0822536945343
28,5248,81.1839849948883
29,4975,81.25613570213318
30,5044,81.36435461044312
