Run,Distance,Time (s)
1,37848,0.1812300682067871
2,43104,0.18222284317016602
3,40385,0.18169665336608887
4,38169,0.1812291145324707
5,38130,0.18134212493896484
6,40195,0.1802687644958496
7,40971,0.18111705780029297
8,40564,0.16174554824829102
9,39631,0.17229890823364258
10,38249,0.179213285446167
11,43099,0.18039417266845703
12,42359,0.18038725852966309
13,39130,0.18108701705932617
14,43424,0.18092775344848633
15,38991,0.18076825141906738
16,39320,0.18006134033203125
17,37025,0.18161606788635254
18,42355,0.18118524551391602
19,39466,0.1818535327911377
20,37994,0.18104338645935059
21,41829,0.18079566955566406
22,37846,0.17690443992614746
23,40966,0.18153977394104004
24,42645,0.18040013313293457
25,37529,0.18138694763183594
26,39237,0.18043971061706543
27,41317,0.16794919967651367
28,40696,0.1625964641571045
29,37856,0.18216657638549805
30,40682,0.18146705627441406
