Run,Distance,Time (s)
1,18583,17.132227897644043
2,17204,16.56807255744934
3,19481,16.739349603652954
4,16641,17.154053688049316
5,18122,16.793163061141968
6,18679,16.39923930168152
7,18820,17.29004669189453
8,17574,17.596848726272583
9,17031,17.12869143486023
10,18985,17.06556224822998
11,17514,17.325663566589355
12,19524,16.41756558418274
13,17374,16.491581201553345
14,18342,16.47670078277588
15,19732,17.157613277435303
16,18729,17.36072850227356
17,18386,17.06331181526184
18,18931,17.1940336227417
19,17396,17.534852981567383
20,18258,17.37561869621277
21,18704,16.996982097625732
22,17168,17.42033290863037
23,17158,17.706096649169922
24,17123,17.541809797286987
25,18743,17.066024780273438
26,18869,17.077089309692383
27,17640,17.519690990447998
28,17452,17.363407850265503
29,17745,16.35061478614807
30,18395,16.877300024032593
